"","ファンクションテーブルの目的：アカウント毎に利用可能機能・有料・無料・期間・回数を明確にし、製作・運用をしやすくする。","","","","","","","","","","","","",""
"","A17イメージ","","","","","","","","","","","","",""
"","","","","","","パッケージ","","パッケージ","","パッケージ","","","","※金額はいったん仮の金額"
"","","","","","〇　Free","","★ Paid","","×　Not available","","","","","※金額・期間・回数をカート機能と連動できるか確認する"
"","","機能カテゴリ","機能名","英名","Customer
海外投資家","","Agent
不動産業者","","Support A
【管理会社】","","アカウント追加
【・・・・・】","自動更新","自動メール設定
自動送信メールの件名・本文・送信タイミングを設定","備考"
"","","基本機能","機能名","Basic Features","","","","","","","","","",""
"","","","","","〇","","〇","","〇","","× ","ＯＮ","30日前、7日前に自動更新となるメール送信。内容設定ここで設定","全アカウント共通"
"","","","リッチプロフィール","Rich Profile","× ","","★ｎ円/月","","★ｎ円/月","","× ","ＯＮ","","全アカウント共通"
"","","","メッセージ履歴保存（6ヶ月）","Message History Storage (6 Months)","〇","","〇","","〇","","× ","","","標準期間"
"","","","メッセージ履歴保存（1年）※画像・動画は3ヶ月？","Message History Storage (1 Year) *Images and Videos: 3 Months?","★ｎ円/月","Ｐ","★1000円/月","A","★1000円/月","","× ","","","契約期間中"
"","","","メッセージ履歴保存（3年OR無制限）※画像・動画は6ヶ月？","Message History Storage (3 Years or Unlimited) *Images and Videos: 6 Months?","★ｎ円/月","","★1000円/月","","★1000円/月","","× ","","","契約期間中"
"","","","物件状況（物件閲覧数、保存数、問合せ数）","Property Status (Number of Property Views, Saves, Inquiries)","★ｎ円/月","Ｐ","× ","","× ","","× ","","",""
"","","物件管理機能","","Item management function","","","","","","","","","",""
"","","","物件掲載（5件まで）","Property Listings (Up to 5)","× ","","〇","","× ","","× ","","","初期無料枠"
"","","","物件掲載（ｎ件まで）","Property Listings (Up to n)","× ","","★ｎ円/月","","× ","","× ","","","有料プラン"
"","","","物件掲載（無制限）","Property Listings (Unlimited)","× ","","★ｎ円/月","","× ","","","","",""
"","","","サービス掲載（5件まで）","Service Listings (Up to 5)","× ","","× ","","★1000円/月","","× ","","","フェーズ２"
"","","","サービス掲載（ｎ件まで）","Service Listings (Up to n)","× ","","","","","","","","",""
"","","希望登録・提案機能","","Preference registration and proposal function","","","","","","","","","",""
"","","C97 ","希望物件登録（カスタマー→エージェント提案）","Wanted Property Registration (Customer → Agent Proposal)","〇","","× ","","× ","","× ","","","希望物件登録"
