No.,Function Category,Function Name,Detailed Requirements,Period
A1,Dashboard,KPI Dashboard,"Total users (end users/real estate agents), DAU/WAU/MAU (by end users/agents), new registrations, property listings, inquiries, average session time, graph display",Period 1
A2,Dashboard,Agent Statistics,"Agent count, by type, location-based statistics, subscription package, [agent count graph by day]",Period 1
A2.1,Dashboard,End User Statistics,"End user count, registered users, location based statistics, male/female, age category, DAU/WAU/MAU, average session time, number of registered users graph by day, number of active users graph by day",Period 1
A3,Dashboard,Property Statistics,"Property count, type, location, listing duration, price change statistics, number of property views daily/weekly/monthly, [number of properties viewed, by type, graph by day]",Period 1
A4,Dashboard,Agent League Table,"Rankings by property listings, sales, ad spend, total spend, [ Stars, reviews - Jason, also Inactive Users ]",Period 1
A5,Dashboard,Sales Statistics,"Subscriptions Sales by type, Cart purchases, property ads, banner ad revenue, by period, [by number and amount], graph display",Period 1
A6,User Management & CRM,Registered User List Display,"ADMIN PORTAL List of buyers, sellers, real estate agents, other support accounts　- Yuki
23・June（Admin CRM-enabled user list display: Comprehensive management screen of end users, real estate agents, and other support accounts. 

[Basic Info] Account data (name, email, phone, category, subscription category, ), creation date, status. 
[CRM Analytics] Traffic source tracking, engagement metrics (login frequency, last login, session time). [Agent-specific] Customer service records, ad performance data, subscription history. Report count (number of reports, deletions, edits)
[Admin Management] Support history, notification records, survey responses. 
[Segment & Tag Management] Behavior-based segmentation, custom tagging, user group management. [Action Button Integration] Direct email sending, account editing, support ticket creation from user rows. [Dashboard Integration] Data linkage with A1 KPI dashboard, real-time updates. 
[Alert Functions] Auto-detection of long-term inactive users, automatic problem user flagging, abnormal behavior pattern notifications. [Functions] Table display, sorting, filtering, CSV export, category switching, search functionality. -Jason [we need to have a prototype/screenshot to be able to check these]",Period 1
A7,User Management & CRM,User Account Management,"View details, edit, suspend, delete functions",Period 1
A8,User Management & CRM,Agent Approval/Rejection,"View/Edit/Suspend/Delete Details, PLUS New Agent and Support Account Registration Approve/Reject, Email/Site Notifications, and Rejection Reason Entry.(Automatic Notification via Email/In-site Alert upon action)",Period 2
A9,User Management & CRM,Support Account Management,"Other real estate support accounts (management companies, legal professionals, tax advisors, etc.) registration, approval, management - part of a paid classified",Period 2
A10,User Management & CRM,Login Recovery Management,Admin password reset when user cannot access email,Period 1
A11,Property Management,Property List Display,"List of all properties on site, sort by category, type, price, agent, when listed, listing duration",Period 1
A12.1,Property Management,Property Approval Management,"Property publication, suspension, deletion",Period 2
A12.2,Property Management,Property Approval Management,"Property Flagged Listing Verification & Rectification Request""",Period 2
A13,Property Management,"Property Type Management, Performance","Property type configuration management, Display IMP, CL, CTR, CV, and CVR for individual listings and search lists / sort by highest/lowest",Period 1
A14,Content Management,Static Page Management,"Create, edit, delete FAQ, Privacy Policy, Terms of Service, Specified Commercial Transaction Law (Japan-specific)",Period 1
A15,Content Management,Blog/Article Management,"Create, Add Category to, Edit, Publish, Suspend/Unpublish, and Delete the following content:

1.  Insight and Area Guide Articles
2. Video, News, and Other Articles AND
3.  Handle Flagged Listing Verification & Rectification Requests",Period 1
A16,Content Management,Agent Content Application Management,"Agent and support account post application list, approval, rejection, edit requests, notification and email functions,CSV format sorting and selection.",Period 1
A17,Content Management,Product Shelf/Cart Functions,"Please see Function Sheet. Configure Subscription Packages and Pricing, for agents, end users, support accounts. Product management for agents, customers, support accounts; price and period settings. Glass : (E.g: Premium users, advanced translation function). ",Period 2
A18,System Settings,Basic Settings,"Currency, language, timezone settings",Period 1
A19,Messages & Emails, Notification Management,"【Message Distribution System】
・Distribution methods (Individual email dispatch, mass distribution, targeted segment distribution)
・Distribution Accounts (Admin, Customer Support, Business Support, Other)
・Message template library
  - Account type categories (Agent-focused, Support-focused, Customer-focused)
  - Scenario-based templates (System notifications, Approval/rejection notices, etc.)
・Delivery timing control
  - Manual dispatch (Date/time scheduling, Calendar integration)
  - Automated dispatch
    ◦ Recurring delivery (Scheduled repeat delivery)
    ◦ Event-based triggers (Post-registration, violations, purchases, etc.)
    ◦ Drip campaigns (Sequential delivery: Day 1 content A, Day 14 content B, etc.)
・Notification methods (In-site messages, Email, Both options)
・Distribution control (Pause/Resume operations)
【Analytics & Campaign Management】
・Complete distribution history, Performance tracking (Open counts/rates, URL click counts/rates)
・Account-specific and distribution type analysis
【UI/UX】
・Message interface screen, message creation and sending
・Drag-and-drop message creation capability
・Template customization and save functionality
・Distribution results dashboard display",Period 1
A20,System Settings,External Service Integration,"Payment, map, CRM integration settings",Period 1
A21,System Settings,Security Settings,"Password policy, two-factor authentication management",Period 1
A22,System Settings,Region/Station/Railway Settings,"Regional content, station/railway data management, station additions, line changes, place name changes",Period 1
A23,System Settings,Transaction Data Input Settings,"Admin configurable transaction input fields (add/remove, required/optional). If agent removes a listing. Must put reason: 1) If sold, agent must put the price. Price chose as public or private to Yuushi. 2) Sold by others, 3) Seller did not want to sell . Linked to C46 and C47 in Customer Portal. Agent B30",Period 2
A24.1,Ad Management,Property Ad Management,"Sponsored property ad approval, suspension, publication, deletion, termination. Lagged Listing Verification & Rectification Request. Normal listings can be published automatically, but there are risk mitigants.",Period 1
A24.2,Ad Management,Property Ad Management," Prior to listing submission, AI to find illegal keywords, spam before they are allowed to submit listing. Button on the propety listing for complaints, we will review complaints on listings and listings can be suspended, removed. Please see D13 & D14",
A25,Ad Management,Banner Ad Management,"Banner ad approval, suspension, publication, deletion, termination. Flagged Listing Verification & Rectification Request",Period 2
A26,Ad Management,Ad Performance,"Property ad and banner ad IMP, CL, CTR, CV, CVR analysis, Comparison with general listings, CSV format sorting and selection",Period 1
A27,Payment Management,Payment Report Display,"Agent and customers, support account payment status confirmation. [Financial reports, revenue reporting by month, year, custom period, to include revenue breakdown by type (subscription, Ads - sponsored ads, banner ads etc), Download by CSV]",Period 2
